date,pm25,pm10,o3,no2,so2
2014-08-31,25.0,19.0,24.0,16.0,
2014-09-01,24.0,22.0,27.0,20.0,
2014-09-02,33.0,16.0,28.0,12.0,1.0
2014-09-03,28.0,17.0,28.0,13.0,2.0
2014-09-04,35.0,17.0,31.0,11.0,1.0
2014-09-05,29.0,22.0,30.0,21.0,
2014-09-06,44.0,20.0,33.0,21.0,1.0
2014-09-07,47.0,24.0,25.0,24.0,
2014-09-08,48.0,22.0,25.0,16.0,
2014-09-09,43.0,31.0,24.0,27.0,1.0
2014-09-10,65.0,34.0,26.0,26.0,
2014-09-11,73.0,28.0,26.0,16.0,1.0
2014-09-12,67.0,21.0,26.0,18.0,
2014-09-13,47.0,26.0,25.0,25.0,
2014-09-14,52.0,29.0,17.0,22.0,4.0
2014-09-15,61.0,32.0,22.0,23.0,4.0
2014-09-16,63.0,39.0,15.0,29.0,4.0
2014-09-17,70.0,37.0,22.0,31.0,4.0
2014-09-18,64.0,39.0,16.0,28.0,3.0
2014-09-19,74.0,45.0,23.0,23.0,1.0
2014-09-20,86.0,39.0,30.0,16.0,1.0
2014-09-21,80.0,32.0,19.0,22.0,
2014-09-22,68.0,12.0,18.0,14.0,
2014-09-23,16.0,11.0,21.0,9.0,
2014-09-24,20.0,14.0,21.0,11.0,1.0
2014-09-25,38.0,18.0,24.0,10.0,1.0
2014-09-26,50.0,9.0,23.0,6.0,
2014-09-27,17.0,11.0,21.0,6.0,1.0
2014-09-28,19.0,25.0,22.0,12.0,
2014-09-29,32.0,20.0,20.0,15.0,1.0
2014-09-30,29.0,28.0,12.0,21.0,2.0
2014-10-01,43.0,25.0,16.0,21.0,1.0
2014-10-02,41.0,21.0,15.0,17.0,2.0
2014-10-03,47.0,23.0,18.0,17.0,1.0
2014-10-04,62.0,18.0,21.0,11.0,1.0
2014-10-05,43.0,24.0,19.0,11.0,2.0
2014-10-06,47.0,24.0,20.0,11.0,1.0
2014-10-07,49.0,30.0,22.0,10.0,1.0
2014-10-08,68.0,33.0,13.0,13.0,1.0
2014-10-09,80.0,15.0,11.0,13.0,
2014-10-10,48.0,17.0,19.0,8.0,1.0
2014-10-11,46.0,21.0,11.0,18.0,
2014-10-12,47.0,23.0,6.0,14.0,1.0
2014-10-13,44.0,16.0,8.0,20.0,1.0
2014-10-14,32.0,15.0,13.0,14.0,
2014-10-15,25.0,15.0,17.0,18.0,
2014-10-16,23.0,19.0,18.0,26.0,1.0
2014-10-17,24.0,17.0,17.0,26.0,2.0
2014-10-18,30.0,10.0,22.0,10.0,1.0
2014-10-19,20.0,15.0,8.0,20.0,
2014-10-20,22.0,15.0,20.0,16.0,
2014-10-21,23.0,16.0,23.0,16.0,1.0
2014-10-22,28.0,16.0,22.0,14.0,2.0
2014-10-23,27.0,15.0,24.0,7.0,1.0
2014-10-24,23.0,,,,
2014-10-26,,16.0,21.0,8.0,
2014-10-27,39.0,15.0,20.0,7.0,
2014-10-28,33.0,22.0,27.0,9.0,1.0
2014-10-29,55.0,14.0,25.0,17.0,2.0
2014-10-30,24.0,21.0,17.0,20.0,1.0
2014-10-31,21.0,24.0,25.0,21.0,1.0
2014-11-01,30.0,15.0,23.0,6.0,1.0
2014-11-02,37.0,33.0,16.0,9.0,1.0
2014-11-03,77.0,25.0,17.0,11.0,1.0
2014-11-04,68.0,27.0,22.0,17.0,1.0
2014-11-05,40.0,9.0,20.0,16.0,1.0
2014-11-06,18.0,12.0,9.0,21.0,
2014-11-07,19.0,19.0,9.0,12.0,
2014-11-08,20.0,20.0,16.0,13.0,
2014-11-09,41.0,17.0,16.0,11.0,
2014-11-10,38.0,14.0,9.0,8.0,
2014-11-11,41.0,35.0,12.0,21.0,
2014-11-12,39.0,28.0,13.0,16.0,1.0
2014-11-13,27.0,30.0,15.0,20.0,1.0
2014-11-14,34.0,26.0,12.0,16.0,1.0
2014-11-15,36.0,32.0,14.0,13.0,1.0
2014-11-16,52.0,33.0,21.0,13.0,1.0
2014-11-17,49.0,34.0,12.0,14.0,
2014-11-18,59.0,33.0,14.0,19.0,1.0
2014-11-19,56.0,32.0,9.0,25.0,4.0
2014-11-20,59.0,30.0,8.0,24.0,3.0
2014-11-21,61.0,19.0,4.0,23.0,
2014-11-22,59.0,17.0,6.0,20.0,
2014-11-23,52.0,13.0,20.0,9.0,
2014-11-24,34.0,24.0,18.0,9.0,
2014-11-25,68.0,21.0,11.0,11.0,
2014-11-26,58.0,21.0,9.0,12.0,
2014-11-27,53.0,15.0,14.0,15.0,
2014-11-28,42.0,13.0,20.0,15.0,
2014-11-29,34.0,40.0,21.0,16.0,2.0
2014-11-30,56.0,44.0,14.0,27.0,3.0
2014-12-01,52.0,24.0,21.0,13.0,6.0
2014-12-02,46.0,19.0,24.0,12.0,1.0
2014-12-03,35.0,14.0,20.0,20.0,
2014-12-04,31.0,13.0,18.0,16.0,
2014-12-05,33.0,10.0,18.0,9.0,
2014-12-06,29.0,10.0,23.0,10.0,1.0
2014-12-07,21.0,10.0,25.0,8.0,
2014-12-08,27.0,12.0,22.0,14.0,1.0
2014-12-09,16.0,15.0,25.0,7.0,
2014-12-10,26.0,19.0,18.0,9.0,
2014-12-11,44.0,21.0,17.0,10.0,
2014-12-12,55.0,7.0,23.0,8.0,
2014-12-13,20.0,9.0,21.0,11.0,1.0
2014-12-14,27.0,15.0,23.0,9.0,
2014-12-15,35.0,14.0,23.0,12.0,2.0
2014-12-16,30.0,11.0,20.0,19.0,
2014-12-17,25.0,11.0,19.0,15.0,1.0
2014-12-18,26.0,7.0,23.0,11.0,
2014-12-19,11.0,13.0,25.0,11.0,
2014-12-20,16.0,12.0,24.0,8.0,
2014-12-21,14.0,10.0,22.0,20.0,
2014-12-22,20.0,12.0,14.0,23.0,1.0
2014-12-23,36.0,11.0,17.0,9.0,1.0
2014-12-24,28.0,16.0,20.0,11.0,2.0
2014-12-25,29.0,7.0,21.0,9.0,1.0
2014-12-26,16.0,8.0,22.0,17.0,1.0
2014-12-27,20.0,9.0,25.0,20.0,1.0
2014-12-28,28.0,,,,
2014-12-31,,17.0,21.0,9.0,
2015-01-01,41.0,9.0,26.0,6.0,
2015-01-02,13.0,7.0,30.0,5.0,
2015-01-03,10.0,8.0,18.0,11.0,1.0
2015-01-04,20.0,32.0,18.0,20.0,4.0
2015-01-05,37.0,45.0,19.0,29.0,5.0
2015-01-06,42.0,14.0,27.0,11.0,1.0
2015-01-07,15.0,12.0,23.0,9.0,
2015-01-08,28.0,6.0,18.0,15.0,
2015-01-09,13.0,8.0,22.0,11.0,
