date,pm25,pm10,o3,no2
2013-12-31,34.94544361600279,12.0,22.0,9.0
2014-01-31,45.32258064516129,21.032258064516128,14.612903225806452,20.29032258064516
2014-02-28,39.392857142857146,20.035714285714285,17.464285714285715,19.285714285714285
2014-03-31,74.71047507280227,41.35170084025754,19.84136706874461,27.129032258064516
2014-04-30,65.73333333333333,33.1,25.1,19.833333333333332
2014-05-31,50.38709677419355,26.451612903225808,28.741935483870968,15.838709677419354
2014-06-30,43.9,26.866666666666667,26.533333333333335,14.733333333333333
2014-07-31,57.54838709677419,28.548387096774192,28.35483870967742,15.387096774193548
2014-08-31,44.064516129032256,22.580645161290324,18.755885513670002,14.35483870967742
2014-09-30,76.96666666666667,38.63333333333333,21.32700374004363,19.7
2014-10-31,50.97787760796827,28.42593367523948,11.899644325802623,19.341544548742586
2014-11-30,57.9,27.866666666666667,11.1633841779687,19.166666666666668
2014-12-31,53.51440989397042,24.507635448387845,13.602200211909391,18.037911940456326
2015-01-31,57.645161290322584,24.677419354838708,13.548387096774194,20.161290322580644
2015-02-28,66.30234730368521,27.857142857142858,16.178571428571427,23.0
2015-03-31,72.04220502371194,31.68275969616376,18.548387096774192,19.580645161290324
2015-04-30,63.46666666666667,31.166666666666668,26.433333333333334,17.833333333333332
2015-05-31,45.16129032258065,19.580645161290324,26.57408346605099,14.451612903225806
2015-06-30,50.96666666666667,25.0,31.233333333333334,16.3
2015-07-31,48.61290322580645,20.225806451612904,27.50675928924636,12.870967741935484
2015-08-31,53.806451612903224,23.258064516129032,27.35483870967742,16.322580645161292
2015-09-30,41.3,11.666666666666666,17.5,17.166666666666668
2015-10-31,67.6774193548387,26.451612903225808,8.956392328661654,22.06451612903226
2015-11-30,48.666666666666664,24.533333333333335,13.433333333333334,19.833333333333332
2015-12-31,51.22611118965917,18.770521631507684,13.609513261434113,19.458998284384723
2016-01-31,50.064516129032256,18.193548387096776,15.138532751419694,20.36251713586138
2016-02-29,50.89655172413793,20.03448275862069,16.448275862068964,20.03448275862069
2016-03-31,65.51612903225806,25.870967741935484,20.161290322580644,19.161290322580644
2016-04-30,53.03333333333333,20.666666666666668,23.768694270197468,17.9
2016-05-31,53.96774193548387,23.387096774193548,29.451612903225808,15.709677419354838
2016-06-30,62.6,22.066666666666666,22.5,14.9
2016-07-31,49.16129032258065,17.838709677419356,23.419354838709676,12.32258064516129
2016-08-31,51.58064516129032,20.62917935965835,22.64516129032258,17.096774193548388
2016-09-30,55.84507340803646,23.747038106203092,19.878488646710913,19.28875516327403
2016-10-31,66.54838709677419,26.0,9.193548387096774,19.129032258064516
2016-11-30,58.0,22.7,10.833333333333334,19.833333333333332
2016-12-31,78.6851919604988,30.91712966270474,8.03225806451613,22.573978178225484
2017-01-31,73.30417302283068,28.903225806451612,11.774193548387096,23.677419354838708
2017-02-28,67.4480812173956,27.0,16.214285714285715,19.178571428571427
2017-03-31,55.58064516129032,27.193548387096776,22.129032258064516,19.322580645161292
2017-04-30,52.96666666666667,23.766666666666666,27.737791428854685,16.4
2017-05-31,46.96774193548387,22.741935483870968,27.806451612903224,15.096774193548388
2017-06-30,43.63333333333333,21.7,30.7,13.166666666666666
2017-07-31,29.64516129032258,14.580645161290322,27.7717698990402,11.980012315004716
2017-08-31,44.516129032258064,20.548387096774192,24.827145906305855,15.704743725185407
2017-09-30,47.57381449835907,20.766733637981556,19.180200599027614,16.987396133483855
2017-10-31,39.354838709677416,18.838709677419356,20.19632269147918,15.193548387096774
2017-11-30,54.93333333333333,22.7,14.052504697455824,20.740801448014377
2017-12-31,50.49445425095708,18.464901922888597,14.217141353168627,16.57207969599045
2018-01-31,47.32258064516129,19.0,16.68471337549671,16.0
2018-02-28,62.357142857142854,28.857142857142858,15.928571428571429,18.892857142857142
2018-03-31,54.61900423149955,24.741935483870968,22.32320533525366,18.741935483870968
2018-04-30,59.53333333333333,27.833333333333332,28.266666666666666,17.5
2018-05-31,64.54838709677419,31.75797834527619,37.29032258064516,16.06451612903226
2018-06-30,53.0,26.466666666666665,34.13333333333333,10.433333333333334
2018-07-31,46.645161290322584,22.834936396589146,45.67741935483871,13.096774193548388
2018-08-31,41.806451612903224,21.5630386202148,27.74785727947541,13.419354838709678
2018-09-30,49.666666666666664,24.033333333333335,24.5,17.333333333333332
2018-10-31,53.064516129032256,27.096774193548388,17.322580645161292,19.741935483870968
2018-11-30,59.56666666666667,24.633333333333333,12.565572781777512,18.766666666666666
2018-12-31,53.747882670080166,21.82124301570462,14.943560142767868,17.485244267285044
2019-01-31,55.935483870967744,21.129032258064516,14.741935483870968,18.93548387096774
2019-02-28,65.75,34.0,15.25,23.892857142857142
2019-03-31,49.70967741935484,24.193548387096776,25.742115774651342,15.129032258064516
2019-04-30,63.836837899690735,31.4,33.06666666666667,16.633333333333333
2019-05-31,54.29032258064516,23.70967741935484,29.677419354838708,14.225806451612904
2019-06-30,52.4,20.6,33.06666666666667,13.633333333333333
2019-07-31,41.3426512425345,19.933921809451657,36.200933001154205,12.0
2019-08-31,42.34937226791933,21.34626169402446,30.29032258064516,13.419354838709678
2019-09-30,31.67444773906225,16.1,22.166666666666668,14.133333333333333
2019-10-31,41.03225806451613,17.838709677419356,15.64516129032258,14.03225806451613
2019-11-30,68.3,23.433333333333334,12.4,16.933333333333334
2019-12-31,44.63730192799769,17.937968557216738,16.12027841112756,15.261293603646509
2020-01-31,44.41935483870968,16.193548387096776,21.111103375030726,12.603671834323373
2020-02-29,33.32142857142857,16.35676166814185,30.875032400868093,8.475323647576115
2020-03-31,51.27775901128029,25.352607699781878,28.49177045663812,10.882065219973068
2020-04-30,54.733333333333334,28.433333333333334,36.4,10.333333333333334
2020-05-31,41.32068048223361,21.12593367523948,39.41802585181405,9.074877882075917
2020-06-30,40.06666666666667,17.6,35.1,9.666666666666666
2020-07-31,34.58064516129032,14.838709677419354,28.612903225806452,7.806451612903226
2020-08-31,45.45161290322581,21.032258064516128,36.6167824385135,10.741935483870968
2020-09-30,48.6,24.5,33.93333333333333,13.833333333333334
2020-10-31,34.70967741935484,14.225806451612904,21.387096774193548,10.580645161290322
2020-11-30,54.7,23.133333333333333,14.866666666666667,14.333333333333334
2020-12-31,41.24506936176885,15.591786096095788,17.948210019785606,12.95963844863704
2021-01-31,46.83693378849902,15.822745398843225,15.906227037309774,13.333892709547381
2021-02-28,51.464285714285715,23.178571428571427,22.178571428571427,12.464285714285714
2021-03-31,56.774193548387096,26.35483870967742,29.905799984850976,13.290322580645162
2021-04-30,52.93333333333333,22.433333333333334,32.36666666666667,11.133333333333333
2021-05-31,37.483870967741936,15.580645161290322,33.87096774193548,8.64516129032258
2021-06-30,54.333333333333336,21.6,36.24934419542531,9.23872252115484
2021-07-31,42.903225806451616,16.0,30.875801580401774,8.14863000391002
2021-08-31,37.903225806451616,15.96774193548387,30.7556975485485,8.252877477457265
2021-09-30,52.13333333333333,25.333333333333332,36.18097527081541,10.76800681864005
2021-10-31,42.354838709677416,17.70967741935484,31.80173422494266,8.679512078890887
2021-11-30,56.36666666666667,22.266666666666666,34.586687620357274,9.741646839835306
2021-12-31,51.12903225806452,19.161290322580644,32.777174679743695,8.919541434172237
2022-01-31,55.67741935483871,20.29032258064516,33.48922854548061,9.158136218868512
2022-02-28,34.892857142857146,16.321428571428573,30.887906795414292,8.428768942816884
2022-03-31,70.7741935483871,34.225806451612904,41.43726277978961,13.039096271107473
2022-04-30,46.8,21.533333333333335,33.98874148112271,9.737473357518837
