date,pm25,pm10,o3,no2
2013-12-31,46.75570578188653,19.0,22.0,30.0
2014-01-31,65.74193548387096,36.16129032258065,14.96774193548387,45.67741935483871
2014-02-28,57.357142857142854,34.142857142857146,20.25,43.75
2014-03-31,92.4501554898275,57.67741935483871,22.967741935483872,57.064516129032256
2014-04-30,73.06666666666666,52.93333333333333,27.766666666666666,51.0
2014-05-31,60.74193548387097,40.41935483870968,30.387096774193548,46.483870967741936
2014-06-30,65.43333333333334,45.166666666666664,30.966666666666665,49.266666666666666
2014-07-31,70.06451612903226,40.516129032258064,36.0,50.516129032258064
2014-08-31,57.54838709677419,31.419354838709676,25.70967741935484,40.483870967741936
2014-09-30,95.2,53.266666666666666,26.633333333333333,52.7
2014-10-31,80.2258064516129,42.41935483870968,15.225806451612904,48.74193548387097
2014-11-30,83.0,39.733333333333334,10.531654914680987,42.06666666666667
2014-12-31,80.70757538029281,37.546185947198964,14.44197887250521,43.62845269458837
2015-01-31,85.2258064516129,38.354838709677416,16.838709677419356,44.645161290322584
2015-02-28,88.39900261807557,45.964285714285715,16.571428571428573,47.357142857142854
2015-03-31,88.08739105773776,50.935483870967744,19.612903225806452,49.483870967741936
2015-04-30,76.4,51.9,28.766666666666666,54.56666666666667
2015-05-31,59.193548387096776,42.354838709677416,31.379577733539957,43.41935483870968
2015-06-30,62.63333333333333,49.3,37.56666666666667,48.166666666666664
2015-07-31,58.67741935483871,41.54838709677419,33.193548387096776,43.935483870967744
2015-08-31,62.70967741935484,40.064516129032256,33.41935483870968,44.41935483870968
2015-09-30,59.6,35.233333333333334,23.9,43.93333333333333
2015-10-31,83.16129032258064,42.83870967741935,12.870967741935484,46.16129032258065
2015-11-30,66.66666666666667,32.233333333333334,16.133333333333333,41.86666666666667
2015-12-31,75.3,40.4885900599757,12.961278054676159,42.604500175144246
2016-01-31,67.68204766534296,34.806451612903224,15.32258064516129,42.70967741935484
2016-02-29,63.58620689655172,32.93103448275862,19.413793103448278,42.93103448275862
