Date,pm25
2013-12-31,56.129011132940406
2014-01-31,56.129011132940406
2014-02-28,56.12901113294041
2014-03-31,56.129011132940406
2014-04-30,56.129011132940406
2014-05-31,56.129011132940406
2014-06-30,56.129011132940406
2014-07-31,56.129011132940406
2014-08-31,56.129011132940406
2014-09-30,56.129011132940406
2014-10-31,58.41829858250417
2014-11-30,69.5
2014-12-31,54.172413793103445
2015-01-31,59.38709677419355
2015-02-28,68.82142857142857
2015-03-31,68.29032258064517
2015-04-30,58.8
2015-05-31,61.516129032258064
2015-06-30,60.13333333333333
2015-07-31,50.48148148148148
2015-08-31,58.70967741935484
2015-09-30,52.233333333333334
2015-10-31,86.51612903225806
2015-11-30,62.9
2015-12-31,65.63333333333334
2016-01-31,67.25806451612904
2016-02-29,63.172413793103445
2016-03-31,69.93548387096774
2016-04-30,58.733333333333334
2016-05-31,69.16129032258064
2016-06-30,66.46666666666667
2016-07-31,57.03225806451613
2016-08-31,56.645161290322584
2016-09-30,66.13333333333334
2016-10-31,67.0
2016-11-30,68.83333333333333
2016-12-31,87.70967741935483
2017-01-31,81.87096774193549
2017-02-28,86.53571428571429
2017-03-31,64.93548387096774
2017-04-30,57.6
2017-05-31,63.03225806451613
2017-06-30,57.10526315789474
2017-07-31,56.17666067009048
2017-08-31,56.17666067009048
2017-09-30,56.17666067009048
2017-10-31,56.17666067009048
2017-11-30,56.17666067009048
2017-12-31,56.17666067009048
2018-01-31,57.96296296296296
2018-02-28,76.0
2018-03-31,74.0
2018-04-30,77.03333333333333
2018-05-31,76.61290322580645
2018-06-30,61.0
2018-07-31,54.806451612903224
2018-08-31,46.516129032258064
2018-09-30,49.333333333333336
2018-10-31,54.41935483870968
2018-11-30,69.76666666666667
2018-12-31,57.03225806451613
2019-01-31,59.16129032258065
2019-02-28,75.67857142857143
2019-03-31,60.096774193548384
2019-04-30,67.4
2019-05-31,51.45161290322581
2019-06-30,51.1
2019-07-31,48.45161290322581
2019-08-31,52.935483870967744
2019-09-30,37.96666666666667
2019-10-31,42.96774193548387
2019-11-30,55.233333333333334
2019-12-31,49.8
2020-01-31,56.03225806451613
2020-02-29,44.689655172413794
2020-03-31,48.833333333333336
2020-04-30,51.7
2020-05-31,44.83870967741935
2020-06-30,43.666666666666664
2020-07-31,36.45161290322581
2020-08-31,55.645161290322584
2020-09-30,48.8
2020-10-31,40.70967741935484
2020-11-30,57.86666666666667
2020-12-31,52.354838709677416
2021-01-31,50.225806451612904
2021-02-28,57.964285714285715
2021-03-31,59.41935483870968
2021-04-30,51.96666666666667
2021-05-31,44.58064516129032
2021-06-30,54.13333333333333
2021-07-31,53.70967741935484
2021-08-31,42.41935483870968
2021-09-30,48.7
2021-10-31,41.0
2021-11-30,41.0
2021-12-31,50.74193548387097
2022-01-31,57.774193548387096
2022-02-28,46.57142857142857
2022-03-31,74.09677419354838
2022-04-30,46.63333333333333
2022-05-31,48.774193548387096
2022-06-30,43.833333333333336
2022-07-31,37.193548387096776
2022-08-31,44.483870967741936
2022-09-30,38.233333333333334
2022-10-31,43.903225806451616
2022-11-30,49.166666666666664
2022-12-31,61.32258064516129
2023-01-31,44.32258064516129
2023-02-28,60.392857142857146
2023-03-31,43.32258064516129
2023-04-30,46.96666666666667
2023-05-31,48.935483870967744
2023-06-30,42.266666666666666
2023-07-31,34.516129032258064
2023-08-31,36.25806451612903
2023-09-30,52.67857142857143
