,UTC-DateTime,NL.ISO,NL.Amsterdam.CO.concentration,NL.Amsterdam.CO.aqi,NL.Amsterdam.NO2.concentration,NL.Amsterdam.NO2.aqi,NL.Amsterdam.O3.concentration,NL.Amsterdam.O3.aqi,NL.Amsterdam.SO2.concentration,NL.Amsterdam.SO2.aqi,NL.Amsterdam.PM2.5.concentration,NL.Amsterdam.PM2.5.aqi,NL.Amsterdam.PM10.concentration,NL.Amsterdam.PM10.aqi,NL.Amsterdam.overall_aqi,NL.Rotterdam.CO.concentration,NL.Rotterdam.CO.aqi,NL.Rotterdam.NO2.concentration,NL.Rotterdam.NO2.aqi,NL.Rotterdam.O3.concentration,NL.Rotterdam.O3.aqi,NL.Rotterdam.SO2.concentration,NL.Rotterdam.SO2.aqi,NL.Rotterdam.PM2.5.concentration,NL.Rotterdam.PM2.5.aqi,NL.Rotterdam.PM10.concentration,NL.Rotterdam.PM10.aqi,NL.Rotterdam.overall_aqi,NL.Utrecht.CO.concentration,NL.Utrecht.CO.aqi,NL.Utrecht.NO2.concentration,NL.Utrecht.NO2.aqi,NL.Utrecht.O3.concentration,NL.Utrecht.O3.aqi,NL.Utrecht.SO2.concentration,NL.Utrecht.SO2.aqi,NL.Utrecht.PM2.5.concentration,NL.Utrecht.PM2.5.aqi,NL.Utrecht.PM10.concentration,NL.Utrecht.PM10.aqi,NL.Utrecht.overall_aqi,UK.ISO,UK.London.CO.concentration,UK.London.CO.aqi,UK.London.NO2.concentration,UK.London.NO2.aqi,UK.London.O3.concentration,UK.London.O3.aqi,UK.London.SO2.concentration,UK.London.SO2.aqi,UK.London.PM2.5.concentration,UK.London.PM2.5.aqi,UK.London.PM10.concentration,UK.London.PM10.aqi,UK.London.overall_aqi,UK.Manchester.CO.concentration,UK.Manchester.CO.aqi,UK.Manchester.NO2.concentration,UK.Manchester.NO2.aqi,UK.Manchester.O3.concentration,UK.Manchester.O3.aqi,UK.Manchester.SO2.concentration,UK.Manchester.SO2.aqi,UK.Manchester.PM2.5.concentration,UK.Manchester.PM2.5.aqi,UK.Manchester.PM10.concentration,UK.Manchester.PM10.aqi,UK.Manchester.overall_aqi,UK.Birmingham.CO.concentration,UK.Birmingham.CO.aqi,UK.Birmingham.NO2.concentration,UK.Birmingham.NO2.aqi,UK.Birmingham.O3.concentration,UK.Birmingham.O3.aqi,UK.Birmingham.SO2.concentration,UK.Birmingham.SO2.aqi,UK.Birmingham.PM2.5.concentration,UK.Birmingham.PM2.5.aqi,UK.Birmingham.PM10.concentration,UK.Birmingham.PM10.aqi,UK.Birmingham.overall_aqi,FR.ISO,FR.Paris.CO.concentration,FR.Paris.CO.aqi,FR.Paris.NO2.concentration,FR.Paris.NO2.aqi,FR.Paris.O3.concentration,FR.Paris.O3.aqi,FR.Paris.SO2.concentration,FR.Paris.SO2.aqi,FR.Paris.PM2.5.concentration,FR.Paris.PM2.5.aqi,FR.Paris.PM10.concentration,FR.Paris.PM10.aqi,FR.Paris.overall_aqi,FR.Lyon.CO.concentration,FR.Lyon.CO.aqi,FR.Lyon.NO2.concentration,FR.Lyon.NO2.aqi,FR.Lyon.O3.concentration,FR.Lyon.O3.aqi,FR.Lyon.SO2.concentration,FR.Lyon.SO2.aqi,FR.Lyon.PM2.5.concentration,FR.Lyon.PM2.5.aqi,FR.Lyon.PM10.concentration,FR.Lyon.PM10.aqi,FR.Lyon.overall_aqi,FR.Marseille.CO.concentration,FR.Marseille.CO.aqi,FR.Marseille.NO2.concentration,FR.Marseille.NO2.aqi,FR.Marseille.O3.concentration,FR.Marseille.O3.aqi,FR.Marseille.SO2.concentration,FR.Marseille.SO2.aqi,FR.Marseille.PM2.5.concentration,FR.Marseille.PM2.5.aqi,FR.Marseille.PM10.concentration,FR.Marseille.PM10.aqi,FR.Marseille.overall_aqi,BE.ISO,BE.Brussel.CO.concentration,BE.Brussel.CO.aqi,BE.Brussel.NO2.concentration,BE.Brussel.NO2.aqi,BE.Brussel.O3.concentration,BE.Brussel.O3.aqi,BE.Brussel.SO2.concentration,BE.Brussel.SO2.aqi,BE.Brussel.PM2.5.concentration,BE.Brussel.PM2.5.aqi,BE.Brussel.PM10.concentration,BE.Brussel.PM10.aqi,BE.Brussel.overall_aqi,BE.Antwerp.CO.concentration,BE.Antwerp.CO.aqi,BE.Antwerp.NO2.concentration,BE.Antwerp.NO2.aqi,BE.Antwerp.O3.concentration,BE.Antwerp.O3.aqi,BE.Antwerp.SO2.concentration,BE.Antwerp.SO2.aqi,BE.Antwerp.PM2.5.concentration,BE.Antwerp.PM2.5.aqi,BE.Antwerp.PM10.concentration,BE.Antwerp.PM10.aqi,BE.Antwerp.overall_aqi,BE.Ghent.CO.concentration,BE.Ghent.CO.aqi,BE.Ghent.NO2.concentration,BE.Ghent.NO2.aqi,BE.Ghent.O3.concentration,BE.Ghent.O3.aqi,BE.Ghent.SO2.concentration,BE.Ghent.SO2.aqi,BE.Ghent.PM2.5.concentration,BE.Ghent.PM2.5.aqi,BE.Ghent.PM10.concentration,BE.Ghent.PM10.aqi,BE.Ghent.overall_aqi,FI.ISO,FI.Helsinki.CO.concentration,FI.Helsinki.CO.aqi,FI.Helsinki.NO2.concentration,FI.Helsinki.NO2.aqi,FI.Helsinki.O3.concentration,FI.Helsinki.O3.aqi,FI.Helsinki.SO2.concentration,FI.Helsinki.SO2.aqi,FI.Helsinki.PM2.5.concentration,FI.Helsinki.PM2.5.aqi,FI.Helsinki.PM10.concentration,FI.Helsinki.PM10.aqi,FI.Helsinki.overall_aqi,FI.Tempere.CO.concentration,FI.Tempere.CO.aqi,FI.Tempere.NO2.concentration,FI.Tempere.NO2.aqi,FI.Tempere.O3.concentration,FI.Tempere.O3.aqi,FI.Tempere.SO2.concentration,FI.Tempere.SO2.aqi,FI.Tempere.PM2.5.concentration,FI.Tempere.PM2.5.aqi,FI.Tempere.PM10.concentration,FI.Tempere.PM10.aqi,FI.Tempere.overall_aqi,FI.Oulu.CO.concentration,FI.Oulu.CO.aqi,FI.Oulu.NO2.concentration,FI.Oulu.NO2.aqi,FI.Oulu.O3.concentration,FI.Oulu.O3.aqi,FI.Oulu.SO2.concentration,FI.Oulu.SO2.aqi,FI.Oulu.PM2.5.concentration,FI.Oulu.PM2.5.aqi,FI.Oulu.PM10.concentration,FI.Oulu.PM10.aqi,FI.Oulu.overall_aqi
0,2023-10-23 02:59,NL,277.04,3,23.99,29,0.02,0,1.3,1,4.74,15,6.48,6,29,253.68,2,22.96,28,1.19,1,3.52,5,3.87,12,4.91,4,28,230.31,2,14.91,18,3.26,2,0.9,1,4.52,14,5.72,5,18,UK,343.8,3,26.05,32,0,0,6.38,9,13.27,43,14.74,13,43,240.33,2,16.97,21,30.4,25,3.1,4,3.47,11,4.3,3,25,240.33,2,14.57,18,21.46,18,3.01,4,3.16,10,3.94,3,18,FR,420.57,4,26.73,33,11.09,9,2.65,3,11.25,36,13.5,12,36,353.81,4,16.28,20,22.17,18,1.43,2,9.06,29,10.37,9,29,216.96,2,4.24,5,80.82,114,2,2,1.95,6,2.98,2,114,BE,273.71,3,17.31,21,2.37,2,1.06,1,5.29,17,7.29,6,21,273.71,3,20.91,26,0.49,0,4.83,7,6.6,21,9.47,8,26,337.12,3,19.02,23,1.65,1,0.81,1,8.49,27,10.78,9,27,FI,347.14,3,22.62,28,10.19,8,4.23,6,7.99,25,11.14,10,28,267.03,3,10.54,13,39.34,33,0.54,0,6.05,19,7.06,6,33,287.06,3,4.46,5,33.26,28,1.62,2,3.48,11,3.75,3,28
0,2023-10-23 03:59,NL,283.72,3,22.28,27,0,0,1.3,1,5.15,16,6.93,6,27,257.02,2,21.42,26,0.37,0,3.87,5,4.87,15,5.91,5,26,230.31,2,14.57,18,1.61,1,0.81,1,4.65,15,5.85,5,18,UK,267.03,3,34.27,42,6.62,5,7.99,11,7.18,23,8.86,8,42,236.99,2,13.2,16,36.48,30,3.46,5,3.43,11,4.27,3,30,236.99,2,12.85,16,24.68,20,3.28,4,3.3,10,4.09,3,20,FR,337.12,3,18.34,22,27.54,23,2.56,3,6.75,21,8.43,7,23,313.76,3,13.2,16,35.05,29,1.45,2,6.68,21,7.69,7,29,216.96,2,3.26,4,85.83,127,1.51,2,1.67,5,2.87,2,127,BE,310.42,3,21.42,26,0.27,0,1.52,2,6.6,21,8.89,8,26,277.04,3,18.85,23,0.02,0,6.2,9,7.08,22,9.89,9,23,320.44,3,17.99,22,0.27,0,0.86,1,7.98,25,9.88,9,25,FI,343.8,3,21.94,27,10.73,9,4.53,6,8.62,27,11.63,10,27,253.68,2,7.88,9,43.99,37,0.46,0,4.9,15,5.76,5,37,280.38,3,4.07,5,37.91,32,1.48,2,3.09,10,3.33,3,32
0,2023-10-23 04:59,NL,320.44,3,20.56,25,0,0,1.48,2,5.96,19,7.57,7,25,287.06,3,21.94,27,0.01,0,4.35,6,6.32,20,7.36,6,27,247,2,14.57,18,0.09,0,0.89,1,5,16,6.2,5,18,UK,260.35,2,28.79,35,12.34,10,8.94,13,6.82,22,8.29,7,35,236.99,2,13.02,16,38.98,33,3.52,5,3.57,11,4.44,4,33,236.99,2,13.71,17,25.39,21,3.7,5,3.7,12,4.57,4,21,FR,367.17,4,22.96,28,26.11,22,3.13,4,8.19,26,10.14,9,28,397.21,4,23.65,29,26.46,22,2.44,3,10.74,34,12.1,11,34,223.64,2,3.56,4,84.4,123,1.49,2,1.61,5,2.93,2,123,BE,360.49,4,25.71,32,0.01,0,2.41,3,8.45,27,11.17,10,32,300.41,3,19.02,23,0,0,8.11,11,8.05,26,10.7,9,26,307.08,3,17.48,21,0.03,0,1.18,1,7.45,24,9.21,8,24,FI,353.81,4,20.22,25,11.8,10,4.53,6,9.31,30,12.53,11,30,233.65,2,5.74,7,49.35,41,0.43,0,3.49,11,4.21,3,41,283.72,3,4.28,5,37.55,31,1.28,1,3.17,10,3.44,3,31
0,2023-10-23 06:00,NL,380.52,4,21.59,26,0,0,1.71,2,7.14,23,8.54,7,26,343.8,3,25.71,32,0,0,4.65,6,8.19,26,9.31,8,32,290.39,3,15.08,18,0,0,1.1,1,5.99,19,7.18,6,19,UK,270.37,3,34.96,43,9.03,7,11.44,16,7.21,23,8.63,7,43,243.66,2,17.65,22,37.19,31,4.05,5,3.75,12,4.65,4,31,243.66,2,18.68,23,21.64,18,4.71,6,5.13,16,6.1,5,23,FR,410.56,4,29.47,36,22.71,19,3.73,5,10.09,32,12.28,11,36,500.68,5,35.64,44,12.88,10,3.43,5,16.45,52,18.28,16,52,230.31,2,3.9,4,82.25,118,1.48,2,1.5,4,2.73,2,118,BE,417.23,4,28.45,35,0,0,3.43,5,10.48,34,13.63,12,35,347.14,3,23.31,29,0,0,9.54,14,9.63,31,12.13,11,31,303.75,3,18.68,23,0.01,0,1.58,2,7.31,23,9.16,8,23,FI,357.15,4,18.85,23,13.59,11,4.47,6,9.3,30,12.84,11,30,226.97,2,5.4,6,55.08,46,0.59,0,2.93,9,3.6,3,46,283.72,3,4.11,5,38.27,32,1.04,1,3.02,9,3.34,3,32
0,2023-10-23 07:00,NL,410.56,4,21.76,27,0,0,1.88,2,7.91,25,9.21,8,27,390.53,4,27.76,34,0,0,4.59,6,9.61,31,10.93,10,34,350.48,3,15.42,19,0,0,1.24,1,7.45,24,8.67,8,24,UK,277.04,3,40.1,50,10.64,9,13.83,20,6.63,21,8.51,7,50,253.68,2,26.05,32,31.11,26,4.83,7,4.26,13,5.23,4,32,253.68,2,26.73,33,15.74,13,5.84,8,7.33,23,8.43,7,33,FR,363.83,4,24.33,30,32.9,27,3.43,5,7.27,23,8.95,8,30,534.06,6,38.04,47,8.49,7,3.82,5,18.06,55,20.01,18,55,230.31,2,4.11,5,83.69,121,1.49,2,1.66,5,3.1,2,121,BE,440.6,5,29.47,36,0.01,0,3.87,5,11.16,36,14.62,13,36,380.52,4,28.79,35,0.01,0,9.18,13,10.43,33,12.97,12,35,303.75,3,25.71,32,0.13,0,2.06,3,7.6,24,10.46,9,32,FI,357.15,4,18.17,22,15.56,13,4.77,7,9.05,29,12.82,11,29,233.65,2,6.6,8,58.65,49,0.86,1,3.19,10,3.9,3,49,273.71,3,3.09,3,41.84,35,0.69,1,2.3,7,2.66,2,35
0,2023-10-23 08:00,NL,417.23,4,19.71,24,0.07,0,2,2,8.7,28,10.2,9,28,400.54,4,26.05,32,0.15,0,4.59,6,10.27,33,11.88,11,33,380.52,4,13.88,17,0.08,0,1.28,1,8.63,28,9.97,9,28,UK,277.04,3,42.5,53,8.67,7,14.42,21,6.54,21,9.1,8,53,260.35,2,30.85,38,27.9,23,5.72,8,4.96,16,6.01,5,38,263.69,2,32.56,40,11.27,9,7.27,10,10.37,33,11.61,10,40,FR,460.63,5,34.96,43,12.16,10,4.29,6,11.97,38,14.82,13,43,961.3,10,37.36,46,0.56,0,5.66,8,43.08,105,46.08,42,105,223.64,2,3.68,4,89.41,136,1.34,1,1.52,4,3.68,3,136,BE,413.9,4,29.47,36,0.7,0,3.58,5,10.07,32,13.61,12,36,377.18,4,22.62,28,0.63,0,8.35,12,9.5,30,11.94,11,30,327.11,3,21.42,26,0.53,0,2.15,3,7.3,23,10.06,9,26,FI,350.48,3,16.62,20,19.49,16,5.25,7,8.38,27,12.23,11,27,243.66,2,9.68,12,31.47,26,0.49,0,5.12,16,5.65,5,26,257.02,2,1.76,2,42.92,36,0.26,0,1.43,4,1.8,1,36
0,2023-10-23 09:01,NL,390.53,4,22.62,28,0.3,0,2.92,4,16.08,51,18.1,16,51,397.21,4,24.68,30,0.64,0,5.07,7,12.29,39,14.57,13,39,363.83,4,19.19,23,0.5,0,1.97,2,12.76,41,14.8,13,41,UK,273.71,3,37.01,46,6.26,5,15.74,23,6.6,21,9.5,8,46,236.99,2,29.47,36,28.61,24,5.66,8,5.13,16,8.04,7,36,247,2,30.5,38,16.09,13,8.7,12,9.15,29,12.58,11,38,FR,393.87,4,26.39,32,23.96,20,3.82,5,8.81,28,11.27,10,32,734.33,8,39.76,49,5.81,4,5.01,7,29.74,78,32.01,29,78,220.3,2,3.3,4,90.84,139,1.3,1,1.7,5,4.92,4,139,BE,420.57,4,27.08,33,1.17,0,3.73,5,9.55,31,12.44,11,33,350.48,3,19.71,24,2.68,2,8.7,12,8.57,27,11.38,10,27,347.14,3,22.62,28,1.81,1,2.53,3,7.92,25,11.06,10,28,FI,500.68,5,26.39,32,2.62,2,8.23,12,18.93,57,25.32,23,57,240.33,2,8.48,10,29.68,25,0.46,0,4.99,16,5.49,5,25,253.68,2,1.31,1,47.92,40,0.21,0,1.5,4,1.84,1,40
0,2023-10-23 10:01,NL,397.21,4,19.88,24,0.51,0,2.68,3,15.86,50,17.97,16,50,330.45,3,29.82,37,4.16,3,4.89,7,13.11,42,16.17,14,42,333.79,3,20.39,25,2.01,1,2.21,3,13.77,44,16.2,15,44,UK,257.02,2,30.16,37,16.63,14,15.74,23,5.34,17,8.09,7,37,223.64,2,19.54,24,42.2,35,6.56,9,5.48,17,8.83,8,35,240.33,2,23.65,29,27.54,23,8.94,13,8.61,27,12.22,11,29,FR,313.76,3,16.79,20,41.84,35,3.19,4,5.11,16,6.54,6,35,467.3,5,30.5,38,27.18,23,4.59,6,14.29,46,15.57,14,46,216.96,2,2.83,3,91.55,141,1.19,1,2.07,6,6.86,6,141,BE,353.81,4,25.36,31,5.99,5,3.1,4,6.88,22,9.79,9,31,313.76,3,22.62,28,5.1,4,8.94,13,7.27,23,10.98,10,28,353.81,4,27.42,34,6.88,5,3.28,4,8.14,26,11.68,10,34,FI,400.54,4,24.33,30,7.51,6,7.75,11,14.18,46,20.11,18,46,233.65,2,7.37,9,33.62,28,0.44,0,4.38,14,4.82,4,28,250.34,2,0.72,0,70.81,86,0.3,0,1.1,3,1.35,1,86
0,2023-10-23 11:01,NL,383.85,4,19.88,24,0.74,0,2.41,3,14.17,46,16.47,15,46,300.41,3,27.76,34,8.05,6,4.17,6,11.91,38,15.37,14,38,307.08,3,21.76,27,4.29,3,2.09,3,13.7,44,16.6,15,44,UK,250.34,2,27.42,34,22.17,18,15.97,23,4.9,15,7.83,7,34,223.64,2,18.34,22,41.84,35,6.86,10,5.94,19,9.24,8,35,236.99,2,19.71,24,29.68,25,8.35,12,7.55,24,11.2,10,25,FR,293.73,3,14.4,18,46.49,39,2.8,4,4.24,13,5.26,4,39,420.57,4,25.02,31,32.54,27,4.53,6,11.78,38,13.12,12,38,216.96,2,2.72,3,90.84,139,1.22,1,2.33,7,7.57,7,139,BE,300.41,3,22.62,28,12.88,10,2.59,3,5.13,16,8.2,7,28,283.72,3,23.31,29,10.82,9,7.99,11,5.74,18,10.61,9,29,340.46,3,29.82,37,11.8,10,3.87,5,7.5,24,11.2,10,37,FI,370.5,4,21.94,27,12.7,10,6.62,9,12.14,39,18.12,16,39,230.31,2,7.45,9,39.7,33,0.49,0,3.78,12,4.18,3,33,250.34,2,0.68,0,77.96,107,0.34,0,0.66,2,0.88,0,107
0,2023-10-23 12:02,NL,360.49,4,21.59,26,1.3,1,2.3,3,12.15,39,14.68,13,39,280.38,3,27.08,33,13.59,11,3.67,5,10.29,33,14.08,13,33,293.73,3,23.31,29,6.35,5,1.94,2,12.7,41,16.2,15,41,UK,243.66,2,26.39,32,25.03,21,16.21,23,4.79,15,7.96,7,32,223.64,2,18.68,23,39.34,33,6.56,9,6.04,19,9.27,8,33,230.31,2,16.62,20,31.47,26,7.57,11,6.51,21,9.97,9,26,FR,287.06,3,13.88,17,47.21,40,2.65,3,4.16,13,5.06,4,40,340.46,3,18.17,22,39.7,33,3.37,4,7.97,25,9.74,9,33,216.96,2,2.68,3,89.41,136,1.24,1,2.79,9,9.61,8,136,BE,277.04,3,19.88,24,15.74,13,2.27,3,4.35,14,7.88,7,24,273.71,3,22.62,28,17.7,14,6.86,10,5.11,16,10.44,9,28,313.76,3,29.13,36,14.66,12,4.71,6,6.47,21,10.36,9,36,FI,357.15,4,19.88,24,16.81,14,5.84,8,10.36,33,16.63,15,33,223.64,2,7.11,8,48.64,41,0.54,0,3.27,10,3.95,3,41,250.34,2,0.69,0,74.39,98,0.32,0,0.5,1,0.72,0,98
0,2023-10-23 13:02,NL,267.03,3,23.31,29,33.26,28,2.03,2,8.12,26,10.08,9,29,250.34,2,19.36,24,36.48,30,2.62,3,7.71,25,11.57,10,30,257.02,2,19.02,23,32.19,27,1.57,2,8.83,28,12.21,11,28,UK,233.65,2,23.99,29,33.98,28,13.23,19,4.24,13,7.11,6,29,226.97,2,17.31,21,38.98,33,5.66,8,5.78,18,8.69,8,33,223.64,2,14.91,18,36.48,30,6.14,9,5.12,16,7.87,7,30,FR,287.06,3,14.91,18,47.21,40,2.62,3,4.16,13,5.01,4,40,253.68,2,9.08,11,64.37,66,1.86,2,4.7,15,13.74,12,66,216.96,2,2.72,3,88.69,134,1.18,1,3.51,11,13.08,12,134,BE,260.35,2,21.25,26,32.9,27,2.03,2,3.35,10,6.68,6,27,243.66,2,15.77,19,45.78,38,4.35,6,3.94,12,7.81,7,38,273.71,3,29.47,36,29.68,25,6.08,8,4.55,14,8.18,7,36,FI,327.11,3,15.08,18,30.76,26,4.29,6,7.58,24,12.68,11,26,233.65,2,6,7,69.38,82,0.79,1,3.57,11,9.38,8,82,250.34,2,0.59,0,72.24,91,0.23,0,0.5,1,0.66,0,91
0,2023-10-23 14:02,NL,253.68,2,19.19,23,39.7,33,1.57,2,7.37,23,9.35,8,33,240.33,2,17.99,22,39.7,33,2.18,3,6.49,21,10.47,9,33,250.34,2,16.45,20,38.98,33,1.62,2,7.76,25,11.1,10,33,UK,240.33,2,25.36,31,35.76,30,13.11,19,4.44,14,7.2,6,31,226.97,2,18.17,22,35.41,30,5.36,7,5.68,18,8.36,7,30,216.96,2,15.08,18,39.7,33,5.6,8,4.09,13,6.19,5,33,FR,290.39,3,16.11,20,47.92,40,2.71,3,4.4,14,5.24,4,40,220.3,2,5.01,6,85.12,125,1.24,1,4.97,16,25.42,23,125,220.3,2,2.96,3,87.98,132,1.21,1,3.43,11,12.84,11,132,BE,250.34,2,19.54,24,44.35,37,2.03,2,2.81,9,5.47,5,37,233.65,2,14.22,17,52.21,44,4.47,6,4.26,13,7.43,6,44,267.03,3,26.05,32,36.12,30,6.97,10,3.91,12,6.95,6,32,FI,313.76,3,13.2,16,37.91,32,3.7,5,6.26,20,10.48,9,32,240.33,2,7.45,9,70.81,86,1.07,1,4.78,15,16.11,14,86,250.34,2,0.58,0,70.1,84,0.14,0,0.5,1,0.62,0,84
0,2023-10-23 15:03,NL,253.68,2,19.54,24,38.62,32,2.33,3,7.54,24,9.81,9,32,243.66,2,21.94,27,35.05,29,3.58,5,7.84,25,11.89,11,29,267.03,3,20.91,26,33.98,28,3.99,5,9.8,31,13.42,12,31,UK,247,2,28.45,35,35.05,29,13.23,19,5.15,16,7.77,7,35,230.31,2,19.02,23,32.19,27,5.07,7,5.75,18,8.35,7,27,216.96,2,15.59,19,40.41,34,5.19,7,3.43,11,5.24,4,34,FR,297.07,3,18.17,22,45.78,38,2.86,4,4.94,16,5.81,5,38,213.62,2,4.24,5,88.69,134,1.01,1,5.46,17,26.99,24,134,223.64,2,3.3,4,87.98,132,1.24,1,3.69,11,13.21,12,132,BE,250.34,2,21.59,26,44.7,37,2.8,4,3.17,10,5.75,5,37,233.65,2,19.88,24,45.78,38,7.45,10,6.35,20,9.25,8,38,257.02,2,24.68,30,41.13,34,7.03,10,3.64,11,6.33,5,34,FI,317.1,3,13.54,16,37.19,31,3.67,5,6.07,19,9.88,9,31,216.96,2,3.94,4,84.4,123,0.7,1,4.96,16,24.01,22,123,250.34,2,0.6,0,68.67,80,0.1,0,0.5,1,0.61,0,80
0,2023-10-23 16:03,NL,267.03,3,23.99,29,33.62,28,4.23,6,8.51,27,11.01,10,29,267.03,3,31.19,38,26.11,22,6.02,8,10.73,34,14.92,13,38,283.72,3,28.79,35,27.54,23,6.32,9,11.51,37,15.31,14,37,UK,253.68,2,31.87,39,33.98,28,12.99,19,5.39,17,7.59,7,39,230.31,2,20.22,25,30.04,25,4.71,6,6.01,19,9.02,8,25,213.62,2,16.79,20,40.05,33,4.83,7,2.97,9,4.65,4,33,FR,423.91,4,37.01,46,20.03,16,3.22,4,11.28,36,13.33,12,46,220.3,2,4.67,5,87.98,132,1.03,1,6.44,20,25.05,23,132,226.97,2,3.81,4,87.98,132,1.33,1,4.35,14,15.06,13,132,BE,253.68,2,23.65,29,38.62,32,4.53,6,3.74,12,5.89,5,32,250.34,2,28.1,35,37.19,31,9.18,13,7.02,22,9.31,8,35,247,2,25.02,31,41.13,34,8.46,12,5,16,7.21,6,34,FI,330.45,3,14.05,17,34.33,29,3.82,5,6.61,21,10.2,9,29,205.28,2,2.31,2,87.98,132,0.49,0,4.45,14,16.64,15,132,253.68,2,0.73,0,67.95,77,0.11,0,0.5,1,0.64,0,77
0,2023-10-23 17:03,NL,277.04,3,26.05,32,28.97,24,5.42,7,9.94,32,12.37,11,32,293.73,3,40.44,50,19.67,16,7.27,10,13.77,44,18.43,17,50,280.38,3,28.1,35,26.82,22,7.33,10,11.38,36,15.19,14,36,UK,247,2,33.59,41,32.54,27,11.56,17,4.43,14,6.14,5,41,230.31,2,20.56,25,31.11,26,4.47,6,5.94,19,9.36,8,26,213.62,2,17.14,21,40.77,34,4.53,6,2.85,9,4.63,4,34,FR,700.95,7,49.35,61,0.65,0,4.35,6,26.5,72,30.98,28,72,230.31,2,5.27,6,85.83,127,1.09,1,6.2,20,20.45,18,127,233.65,2,4.33,5,87.26,130,1.43,2,4.18,13,13.74,12,130,BE,263.69,2,29.47,36,31.83,26,6.68,9,4.62,15,6.13,5,36,280.38,3,30.5,38,35.41,30,7.57,11,5.87,19,7.49,6,38,253.68,2,28.79,35,33.62,28,10.01,14,6.02,19,7.57,7,35,FI,350.48,3,14.22,17,31.11,26,4.05,5,7.78,25,11.43,10,26,203.61,2,1.65,2,82.97,119,0.4,0,3.39,11,7.75,7,119,253.68,2,0.81,1,68.67,80,0.13,0,0.5,1,0.71,0,80
0,2023-10-23 18:04,NL,273.71,3,23.65,29,30.4,25,4.17,6,10.49,34,12.61,11,34,290.39,3,39.41,49,19.13,16,8.46,12,14.88,48,20.01,18,49,277.04,3,25.71,32,27.54,23,5.54,8,10.98,35,14.37,13,35,UK,250.34,2,33.59,41,32.9,27,11.09,16,4.2,13,5.57,5,41,230.31,2,19.36,24,32.9,27,4.41,6,5.54,17,9.03,8,27,216.96,2,16.11,20,42.56,36,4.47,6,3.13,10,5.13,4,36,FR,947.95,10,43.18,53,0,0,5.54,8,41.63,102,48.5,44,102,233.65,2,5.14,6,82.97,119,1.01,1,4.99,16,12.73,11,119,240.33,2,4.58,5,87.98,132,1.51,2,4.31,13,12.43,11,132,BE,267.03,3,31.19,38,32.19,27,7.57,11,4.72,15,5.65,5,38,293.73,3,28.45,35,36.48,30,6.38,9,4.73,15,5.96,5,35,277.04,3,34.96,43,27.54,23,10.61,15,6.02,19,7.12,6,43,FI,367.17,4,13.54,16,29.33,24,4.17,6,8.54,27,12.16,11,27,206.95,2,1.67,2,77.96,107,0.44,0,2.21,7,3.48,3,107,253.68,2,0.79,0,70.1,84,0.14,0,0.5,1,0.77,0,84
0,2023-10-23 19:04,NL,270.37,3,20.91,26,33.26,28,3.13,4,11.34,36,13,12,36,273.71,3,32.56,40,22.53,19,6.68,9,12.52,40,16.43,15,40,267.03,3,21.08,26,30.76,26,4.17,6,11.38,36,13.89,12,36,UK,257.02,2,33.93,42,33.26,28,11.09,16,4.34,14,5.27,4,42,230.31,2,18.17,22,33.62,28,4.47,6,5.36,17,8.54,7,28,223.64,2,15.08,18,43.63,36,4.59,6,3.89,12,6.1,5,36,FR,1121.52,12,39.41,49,0,0,6.08,8,52.83,124,61.57,53,124,400.54,4,23.99,29,41.49,35,2.24,3,9.9,32,14.21,13,35,247,2,4.67,5,88.69,134,1.59,2,4.8,15,12.47,11,134,BE,260.35,2,27.08,33,35.41,30,6.91,10,4.25,13,4.86,4,33,287.06,3,25.71,32,37.55,31,6.2,9,4.61,14,5.62,5,32,287.06,3,34.62,43,27.9,23,10.01,14,5.32,17,6.07,5,43,FI,387.19,4,12.68,15,28.25,23,4.23,6,9.15,29,12.75,11,29,210.29,2,2.36,2,56.51,47,0.38,0,1.75,5,2.27,2,47,253.68,2,0.77,0,70.1,84,0.15,0,0.5,1,0.83,0,84
0,2023-10-23 20:04,NL,273.71,3,19.02,23,32.9,27,2.62,3,11.87,38,13.36,12,38,257.02,2,25.36,31,27.18,23,4.71,6,9.9,32,12.18,11,32,263.69,2,17.31,21,32.54,27,2.89,4,10.43,33,12.15,11,33,UK,253.68,2,33.24,41,31.83,26,10.25,15,4.24,13,4.9,4,41,233.65,2,17.14,21,32.54,27,4.47,6,5.48,17,8.24,7,27,223.64,2,14.57,18,42.2,35,4.59,6,4.36,14,6.65,6,35,FR,1281.74,14,46.61,58,0,0,6.38,9,65.02,149,76.2,61,149,580.79,6,34.27,42,5.59,4,3.13,4,17.23,53,20.78,19,53,253.68,2,4.76,5,87.98,132,1.7,2,6.03,19,15.47,14,132,BE,257.02,2,23.65,29,36.84,31,5.66,8,4.01,13,4.48,4,31,277.04,3,23.31,29,37.91,32,6.02,8,4.98,16,5.76,5,32,280.38,3,29.13,36,31.47,26,8.7,12,4.51,14,5.06,4,36,FI,407.22,4,11.82,14,27.18,23,3.82,5,9.64,31,13.34,12,31,211.95,2,2.87,3,41.84,35,0.38,0,1.72,5,2.22,2,35,253.68,2,0.78,0,69.38,82,0.14,0,0.5,1,0.86,0,82
